API类型,每次调用费用(限时促销价)
娜诺 香蕉,0.07元/次
娜诺 香蕉 Pro第三方_1K,0.2元/次
娜诺 香蕉 Pro第三方_2K,0.2元/次
娜诺 香蕉 Pro第三方_4K,0.3元/次
娜诺 香蕉 Pro官方_1K,0.7元/次
娜诺 香蕉 Pro官方_2K,1元/次
娜诺 香蕉 Pro官方_4K,1.3元/次
娜诺 香蕉 2第三方_1K,0.2元/次
娜诺 香蕉 2第三方_2K,0.2元/次
娜诺 香蕉 2第三方_4K,0.25元/次
娜诺 香蕉 2官方_1K,0.55元/次
娜诺 香蕉 2官方_2K,0.85元/次
娜诺 香蕉 2官方_4K,1.1元/次
Seedream4.0,0.15元/次
Seedream4.5,0.25元/次
Seedream5.0,0.22元/次
Doubao-seededit-3.0_i2i,0.23元/次
机皮提-Image-1.0（1 Image Output）_1K/2K,0.15元/次
机皮提-Image-1.0（2 Image Output）_1K/2K,0.20元/次
机皮提-Image-1.0（4 Image Output）_1K/2K,0.28元/次
机皮提-Image-2.0-第三方_t2i,0.1元/次
机皮提-Image-2.0-第三方_i2i,0.1元/次
机皮提-Image-2.0-官方_1K_low quality,0.161元/次
机皮提-Image-2.0-官方_1K_medium quality,0.378元/次
机皮提-Image-2.0-官方_1K_high quality,1.120元/次
机皮提-Image-2.0-官方_2K_low quality,0.182元/次
机皮提-Image-2.0-官方_2K_medium quality,0.630元/次
机皮提-Image-2.0-官方_2K_high quality,2.149元/次
机皮提-Image-2.0-官方_4K_low quality,0.224元/次
机皮提-Image-2.0-官方_4K_medium quality,0.966元/次
机皮提-Image-2.0-官方_4K_high quality,3.486元/次
夫拉克斯 Kontext Pro,0.07元/次
夫拉克斯 Kontext Max,0.14元/次
夫拉克斯.2 Pro,0.12元/次
夫拉克斯.2 Flex,0.24元/次
Kling2.0_t2i,0.1元/次
kling2.0_i2i,0.2元/次
wan2.7-image-pro,0.5元/张
wan2.7-image,0.2元/张
